id	gene	type	rowno	test_code
19916	" DES"	genetic	NULL	LPE439
19918	" BLOC1S3"	genetic	NULL	LPE455
19919	" CCDC103"	genetic	NULL	LPE489
19923	" ERCC2"	genetic	NULL	LPE497
19924	" PLG"	genetic	NULL	LPE498
19925	" DMD"	genetic	NULL	LPE518
19928	" ARG1"	genetic	NULL	LPE521
19929	" ALDH5A1"	genetic	NULL	LPE523
19931	" COL11A2"	genetic	NULL	LPE524
19932	" ABCC6"	genetic	NULL	LPE525
19934	" DNMT1"	genetic	NULL	LPE528
19936	" DMRT1"	genetic	NULL	LPE531
19939	" HPS5"	genetic	NULL	LPE534
19941	" DCTN1"	genetic	NULL	LPE536
19943	" ATRX"	genetic	NULL	LPE535
19947	" HGSNAT"	genetic	NULL	LPE539
19950	" BEST1"	genetic	NULL	LPE543
19952	" DLD"	genetic	NULL	LPE439
19953	" CYB5R3"	genetic	NULL	LPE452
19955	" BLOC1S6"	genetic	NULL	LPE455
19957	" CCDC39"	genetic	NULL	LPE489
19959	" PROC"	genetic	NULL	LPE498
19962	" DNAJC19"	genetic	NULL	LPE518
19964	" GPR143"	genetic	NULL	LPE519
19965	" ARHGEF9"	genetic	NULL	LPE521
19967	" ALDH7A1"	genetic	NULL	LPE523
19968	" DNMT1"	genetic	NULL	LPE526
19970	" ALDH18A1"	genetic	NULL	LPE525
19971	" FKRP"	genetic	NULL	LPE527
19972	" AMPD1"	genetic	NULL	LPE533
19974	" SPG11"	genetic	NULL	LPE530
19979	" AGA"	genetic	NULL	LPE537
19980	" PLA2G6"	genetic	NULL	LPE538
19982	" ANTXR2"	genetic	NULL	LPE540
19983	" GRN"	genetic	NULL	LPE541
19988	" SUCLA2"	genetic	NULL	LPE548
19991	" DTNBP1"	genetic	NULL	LPE455
19990	" KLF1"	genetic	NULL	LPE453
19994	" CCDC40"	genetic	NULL	LPE489
19995	" COL1A1"	genetic	NULL	LPE490
19996	" PROS1"	genetic	NULL	LPE498
20001	" HPS1"	genetic	NULL	LPE519
18540	" ACAD9"	genetic	NULL	LPE540
18573	" ABCC8"	genetic	NULL	LPE533
18596	" ACTC1"	genetic	NULL	LPE518
18615	" ERBB4"	genetic	NULL	LPE536
18630	" GATA2"	genetic	NULL	LPE456
18646	" COL12A1"	genetic	NULL	LPE527
18661	" ACO2"	genetic	NULL	LPE543
18693	" FUS"	genetic	NULL	LPE536
18708	" AK2"	genetic	NULL	LPE489
18721	" FIG4"	genetic	NULL	LPE528
18740	" AGPAT2"	genetic	NULL	LPE439
18758	" ACAD9"	genetic	NULL	LPE523
18773	" CLN3"	genetic	NULL	LPE538
18795	" B4GALT7"	genetic	NULL	LPE522
18814	" ACSF3"	genetic	NULL	LPE540
18828	" CD55"	genetic	NULL	LPE498
18846	" ACAD9"	genetic	NULL	LPE533
18862	" LYST"	genetic	NULL	LPE455
18873	" ACO2"	genetic	NULL	LPE523
18893	" ATP13A2"	genetic	NULL	LPE541
18907	" CFB"	genetic	NULL	LPE498
18922	" BBS12"	genetic	NULL	LPE531
18939	" CEBPA"	genetic	NULL	LPE453
18958	" KIF1B"	genetic	NULL	LPE528
18973	" AGPS"	genetic	NULL	LPE543
18995	" CAPN3"	genetic	NULL	LPE526
19012	" GCDH"	genetic	NULL	LPE548
19045	" ACADL"	genetic	NULL	LPE537
19061	" B3GAT3"	genetic	NULL	LPE490
19073	" CFL2"	genetic	NULL	LPE526
19091	" BRAF"	genetic	NULL	LPE439
19106	" AGL"	genetic	NULL	LPE521
19122	" PSEN2"	genetic	NULL	LPE536
19139	" BAG3"	genetic	NULL	LPE490
19157	" NF2"	genetic	NULL	LPE532
19173	" GATA2"	genetic	NULL	LPE454
19196	" BMP15"	genetic	NULL	LPE531
19212	" GFI1"	genetic	NULL	LPE454
19228	" LOX"	genetic	NULL	LPE525
19245	" AMACR"	genetic	NULL	LPE543
19262	" AKT3"	genetic	NULL	LPE521
19274	" F9"	genetic	NULL	LPE534
19291	" C1QC"	genetic	NULL	LPE489
19306	" NEFL"	genetic	NULL	LPE528
19322	" CALM1"	genetic	NULL	LPE439
19340	" MYH11"	genetic	NULL	LPE525
19355	" PCCA"	genetic	NULL	LPE548
19372	" ALDH7A1"	genetic	NULL	LPE521
19393	" PCCB"	genetic	NULL	LPE548
19412	" AFG3L2"	genetic	NULL	LPE523
19427	" ALDH7A1"	genetic	NULL	LPE540
19459	" TARDBP"	genetic	NULL	LPE536
19473	" PALB2"	genetic	NULL	LPE454
19490	" SQSTM1"	genetic	NULL	LPE527
19506	" PNKD"	genetic	NULL	LPE548
19521	" ALG3"	genetic	NULL	LPE521
19540	" ECM1"	genetic	NULL	LPE541
19550	" DICER1"	genetic	NULL	LPE497
19571	" ACTG1"	genetic	NULL	LPE537
19593	" COL5A1"	genetic	NULL	LPE518
19611	" LRRK2"	genetic	NULL	LPE538
19629	" ERCC3"	genetic	NULL	LPE519
19639	" CYB5A"	genetic	NULL	LPE531
19658	" GFI1B"	genetic	NULL	LPE455
19673	" SMAD3"	genetic	NULL	LPE525
19691	" BBS12"	genetic	NULL	LPE543
19709	" AIMP1"	genetic	NULL	LPE523
19719	" ADAR"	genetic	NULL	LPE537
19739	" CRELD1"	genetic	NULL	LPE518
19750	" INF2"	genetic	NULL	LPE528
19772	" BRIP1"	genetic	NULL	LPE488
19790	" HOXA11"	genetic	NULL	LPE534
19809	" CASP8"	genetic	NULL	LPE489
19829	" HPS1"	genetic	NULL	LPE534
19836	" BBS7"	genetic	NULL	LPE543
19856	" TGFBR2"	genetic	NULL	LPE525
19869	" ADSL"	genetic	NULL	LPE537
19891	" ARFGEF2"	genetic	NULL	LPE521
19911	" GNPTAB"	genetic	NULL	LPE541
19920	" MYO6"	genetic	NULL	LPE488
19938	" AMHR2"	genetic	NULL	LPE533
19949	" SPR"	genetic	NULL	LPE548
19973	" IKBKAP"	genetic	NULL	LPE528
19989	" RPS7"	genetic	NULL	LPE454
20004	" ALDOB"	genetic	NULL	LPE523
20006	" ATP6V0A2"	genetic	NULL	LPE525
20008	" GAN"	genetic	NULL	LPE528
20011	" DYNC2H1"	genetic	NULL	LPE531
20012	" AP4B1"	genetic	NULL	LPE529
20013	" SPG21"	genetic	NULL	LPE530
20015	" B4GALT1"	genetic	NULL	LPE535
20020	" GUSB"	genetic	NULL	LPE541
20021	" APTX"	genetic	NULL	LPE540
20025	" LPIN2"	genetic	NULL	LPE452
20026	" DNAJC19"	genetic	NULL	LPE439
20028	" SLC19A2"	genetic	NULL	LPE488
20030	" EGLN1"	genetic	NULL	LPE455
20029	" RUNX1"	genetic	NULL	LPE454
20033	" ERCC5"	genetic	NULL	LPE497
20034	" SERPINC1"	genetic	NULL	LPE498
20038	" DLX3"	genetic	NULL	LPE522
20040	" HPS3"	genetic	NULL	LPE519
20042	" DOLK"	genetic	NULL	LPE526
20045	" AP4E1"	genetic	NULL	LPE529
20047	" KIF1A"	genetic	NULL	LPE528
20046	" ITGA7"	genetic	NULL	LPE527
20048	" SPG7"	genetic	NULL	LPE530
20052	" AGL"	genetic	NULL	LPE537
20053	" FBXO7"	genetic	NULL	LPE536
20055	" POLG2"	genetic	NULL	LPE538
20060	" TBCE"	genetic	NULL	LPE548
20063	" LIG4"	genetic	NULL	LPE453
20064	" SBDS"	genetic	NULL	LPE454
20067	" SLCO1B1"	genetic	NULL	LPE452
20069	" EXT1"	genetic	NULL	LPE497
20070	" COL3A1"	genetic	NULL	LPE490
20071	" SERPIND1"	genetic	NULL	LPE498
20072	" DSC2"	genetic	NULL	LPE518
20078	" ALG11"	genetic	NULL	LPE523
20080	" COL11A1"	genetic	NULL	LPE525
20081	" KBTBD13"	genetic	NULL	LPE527
20082	" DPM1"	genetic	NULL	LPE526
20083	" AP4M1"	genetic	NULL	LPE529
20084	" NGF"	genetic	NULL	LPE528
20089	" BOLA3"	genetic	NULL	LPE535
20091	" AGRN"	genetic	NULL	LPE537
20093	" HGSNAT"	genetic	NULL	LPE541
20095	" ARL6"	genetic	NULL	LPE540
20098	" HADHB"	genetic	NULL	LPE542
20100	" DOLK"	genetic	NULL	LPE439
20101	" F10"	genetic	NULL	LPE455
20104	" CD27"	genetic	NULL	LPE489
20105	" JAG1"	genetic	NULL	LPE488
20106	" COL5A1"	genetic	NULL	LPE490
20109	" SERPINE1"	genetic	NULL	LPE498
20111	" DSG2"	genetic	NULL	LPE518
20115	" ALG12"	genetic	NULL	LPE523
20116	" COL11A2"	genetic	NULL	LPE525
20118	" NTRK1"	genetic	NULL	LPE528
20120	" LAMA2"	genetic	NULL	LPE527
20121	" COL9A2"	genetic	NULL	LPE524
20122	" UNC80"	genetic	NULL	LPE530
20126	" GCH1"	genetic	NULL	LPE536
20127	" AGXT"	genetic	NULL	LPE537
20128	" BRAF"	genetic	NULL	LPE535
20130	" IMPDH1"	genetic	NULL	LPE539
20131	" ARSA"	genetic	NULL	LPE540
20132	" HPS1"	genetic	NULL	LPE541
20136	" DSC2"	genetic	NULL	LPE439
20137	" HBA1"	genetic	NULL	LPE452
20138	" MLH1"	genetic	NULL	LPE453
20144	" EZH2"	genetic	NULL	LPE497
20147	" DSP"	genetic	NULL	LPE518
20151	" ASNS"	genetic	NULL	LPE521
20150	" DYNC2H1"	genetic	NULL	LPE522
20152	" ALG13"	genetic	NULL	LPE523
20154	" COL2A1"	genetic	NULL	LPE525
20159	" REEP1"	genetic	NULL	LPE528
20163	" HTRA2"	genetic	NULL	LPE536
20164	" KLKB1"	genetic	NULL	LPE534
20165	" AHCY"	genetic	NULL	LPE537
20166	" PSEN2"	genetic	NULL	LPE538
20167	" HPS6"	genetic	NULL	LPE541
20168	" IMPG2"	genetic	NULL	LPE539
20169	" ARSB"	genetic	NULL	LPE540
20171	" TIMM8A"	genetic	NULL	LPE548
20172	" C12orf65"	genetic	NULL	LPE543
20173	" DSG2"	genetic	NULL	LPE439
20178	" RDX"	genetic	NULL	LPE488
20181	" COX15"	genetic	NULL	LPE490
20185	" ITGA3"	genetic	NULL	LPE519
20186	" EBP"	genetic	NULL	LPE522
20189	" ALG2"	genetic	NULL	LPE523
20191	" DSG2"	genetic	NULL	LPE526
20194	" FAM134B"	genetic	NULL	LPE528
18733	" GRN"	genetic	NULL	LPE536
18749	" AP3B1"	genetic	NULL	LPE489
18764	" ITPR1"	genetic	NULL	LPE529
18780	" AKAP9"	genetic	NULL	LPE439
18789	" AGL"	genetic	NULL	LPE490
18806	" ATP2B4"	genetic	NULL	LPE530
18818	" ALMS1"	genetic	NULL	LPE439
18840	" DNAJB6"	genetic	NULL	LPE527
18853	" ASAH1"	genetic	NULL	LPE541
18867	" BRCA2"	genetic	NULL	LPE497
18885	" ACADL"	genetic	NULL	LPE533
18905	" ANK2"	genetic	NULL	LPE490
18917	" B4GALT7"	genetic	NULL	LPE524
18935	" FA2H"	genetic	NULL	LPE548
18948	" CHST8"	genetic	NULL	LPE519
18965	" ALG13"	genetic	NULL	LPE535
18980	" TAZ"	genetic	NULL	LPE456
18991	" CANT1"	genetic	NULL	LPE522
19009	" ACAD9"	genetic	NULL	LPE537
19019	" MYH9"	genetic	NULL	LPE455
19040	" FGD1"	genetic	NULL	LPE532
19053	" BAG3"	genetic	NULL	LPE439
19085	" DNM1L"	genetic	NULL	LPE538
19105	" CTC1"	genetic	NULL	LPE519
19118	" BBS9"	genetic	NULL	LPE531
19134	" GATA1"	genetic	NULL	LPE454
19148	" ACVR1"	genetic	NULL	LPE523
19164	" CERKL"	genetic	NULL	LPE539
19180	" CFHR5"	genetic	NULL	LPE498
19194	" FA2H"	genetic	NULL	LPE530
19209	" CACNA1D"	genetic	NULL	LPE439
19219	" CFI"	genetic	NULL	LPE498
19239	" FMR1"	genetic	NULL	LPE538
19253	" KARS"	genetic	NULL	LPE488
19266	" LTBP3"	genetic	NULL	LPE525
19284	" MUT"	genetic	NULL	LPE548
19305	" MYH7"	genetic	NULL	LPE527
19318	" CTNS"	genetic	NULL	LPE541
19335	" DST"	genetic	NULL	LPE519
19348	" FGA"	genetic	NULL	LPE534
19365	" C1S"	genetic	NULL	LPE489
19381	" PMP22"	genetic	NULL	LPE528
19396	" CALR3"	genetic	NULL	LPE439
19421	" KDM5C"	genetic	NULL	LPE530
19444	" C3"	genetic	NULL	LPE489
19451	" PLOD1"	genetic	NULL	LPE525
19467	" CYP4V2"	genetic	NULL	LPE539
19484	" ALG13"	genetic	NULL	LPE521
19503	" ETFDH"	genetic	NULL	LPE542
19518	" CETP"	genetic	NULL	LPE518
19537	" TYROBP"	genetic	NULL	LPE536
19547	" RAC2"	genetic	NULL	LPE454
19566	" SH3TC2"	genetic	NULL	LPE528
19582	" PRKRA"	genetic	NULL	LPE548
19595	" COL1A2"	genetic	NULL	LPE522
19613	" FAM161A"	genetic	NULL	LPE539
19619	" RBM8A"	genetic	NULL	LPE454
19642	" ACO2"	genetic	NULL	LPE529
19656	" TPI1"	genetic	NULL	LPE452
19663	" FKRP"	genetic	NULL	LPE498
19684	" ADAM10"	genetic	NULL	LPE537
19702	" CREB3L3"	genetic	NULL	LPE518
19718	" GP6"	genetic	NULL	LPE534
19736	" CBL"	genetic	NULL	LPE490
19747	" TGFB2"	genetic	NULL	LPE525
19768	" CRYAB"	genetic	NULL	LPE439
19780	" AKT3"	genetic	NULL	LPE523
19788	" KIF5A"	genetic	NULL	LPE528
19818	" ALDH18A1"	genetic	NULL	LPE523
19842	" SLC2A1"	genetic	NULL	LPE548
19855	" APP"	genetic	NULL	LPE521
19864	" DHCR7"	genetic	NULL	LPE531
19885	" CCDC40"	genetic	NULL	LPE490
19903	" AMH"	genetic	NULL	LPE533
19917	" RPS24"	genetic	NULL	LPE454
19940	" SPAST"	genetic	NULL	LPE530
19948	" GNMT"	genetic	NULL	LPE542
19969	" COL1A1"	genetic	NULL	LPE524
19976	" AUH"	genetic	NULL	LPE535
19986	" DMD"	genetic	NULL	LPE439
20017	" HRG"	genetic	NULL	LPE534
20018	" POLG"	genetic	NULL	LPE538
20043	" COL2A1"	genetic	NULL	LPE524
20058	" HEXA"	genetic	NULL	LPE541
20066	" GRXCR1"	genetic	NULL	LPE488
20087	" APOA5"	genetic	NULL	LPE533
20103	" SLC37A4"	genetic	NULL	LPE454
20117	" DPM3"	genetic	NULL	LPE526
20140	" F11"	genetic	NULL	LPE455
20148	" HPS6"	genetic	NULL	LPE519
20170	" HMGCL"	genetic	NULL	LPE542
20177	" SRP72"	genetic	NULL	LPE454
20192	" COL4A1"	genetic	NULL	LPE525
20195	" APOB"	genetic	NULL	LPE529
20198	" APOC3"	genetic	NULL	LPE533
20199	" KNG1"	genetic	NULL	LPE534
20200	" BTD"	genetic	NULL	LPE535
20205	" ASAH1"	genetic	NULL	LPE540
20209	" C1QTNF5"	genetic	NULL	LPE543
20211	" MSH2"	genetic	NULL	LPE453
20212	" F13A1"	genetic	NULL	LPE455
20214	" SLC33A1"	genetic	NULL	LPE488
20216	" CD3G"	genetic	NULL	LPE489
20217	" FANCA"	genetic	NULL	LPE497
20220	" ITGA6"	genetic	NULL	LPE519
20225	" CREBBP"	genetic	NULL	LPE524
20226	" COL9A1"	genetic	NULL	LPE525
20227	" DSP"	genetic	NULL	LPE526
20230	" ARL13B"	genetic	NULL	LPE529
20231	" ZFYVE26"	genetic	NULL	LPE530
20232	" BUB1B"	genetic	NULL	LPE535
20234	" LMAN1"	genetic	NULL	LPE534
20235	" APOE"	genetic	NULL	LPE533
20236	" AIFM1"	genetic	NULL	LPE537
20239	" RAB39B"	genetic	NULL	LPE538
20240	" HYAL1"	genetic	NULL	LPE541
20243	" DTNA"	genetic	NULL	LPE439
20244	" MSH6"	genetic	NULL	LPE453
20245	" C8orf37"	genetic	NULL	LPE543
20248	" F13B"	genetic	NULL	LPE455
20251	" FANCB"	genetic	NULL	LPE497
20258	" ENPP1"	genetic	NULL	LPE522
20259	" ALG6"	genetic	NULL	LPE523
20262	" DYNC1H1"	genetic	NULL	LPE526
20266	" ZFYVE27"	genetic	NULL	LPE530
20268	" APTX"	genetic	NULL	LPE533
20269	" LYST"	genetic	NULL	LPE534
20271	" C12orf57"	genetic	NULL	LPE535
20272	" AIMP1"	genetic	NULL	LPE537
20275	" ASPA"	genetic	NULL	LPE540
20277	" CA4"	genetic	NULL	LPE543
20280	" ELAC2"	genetic	NULL	LPE439
20281	" MYH9"	genetic	NULL	LPE453
20283	" F2"	genetic	NULL	LPE455
20284	" IGF1"	genetic	NULL	LPE488
20286	" CRELD1"	genetic	NULL	LPE490
20289	" EMD"	genetic	NULL	LPE518
20293	" ESCO2"	genetic	NULL	LPE522
20295	" CTSK"	genetic	NULL	LPE524
20296	" DYSF"	genetic	NULL	LPE526
20301	" ACOX1"	genetic	NULL	LPE530
20302	" AQP2"	genetic	NULL	LPE533
20304	" MASTL"	genetic	NULL	LPE534
20305	" CACNA1A"	genetic	NULL	LPE535
20308	" SLC20A2"	genetic	NULL	LPE538
20311	" IVD"	genetic	NULL	LPE542
20312	" IDS"	genetic	NULL	LPE541
20314	" NBN"	genetic	NULL	LPE453
20315	" TINF2"	genetic	NULL	LPE454
20316	" EMD"	genetic	NULL	LPE439
20318	" F5"	genetic	NULL	LPE455
20319	" CRYAB"	genetic	NULL	LPE490
20321	" TYR"	genetic	NULL	LPE488
20323	" ENG"	genetic	NULL	LPE518
20326	" ATP1A2"	genetic	NULL	LPE521
20328	" ALX1"	genetic	NULL	LPE523
20329	" CUL7"	genetic	NULL	LPE524
20332	" POMT1"	genetic	NULL	LPE527
20334	" TTR"	genetic	NULL	LPE528
20335	" ADAR"	genetic	NULL	LPE530
20336	" AR"	genetic	NULL	LPE533
20338	" MCFD2"	genetic	NULL	LPE534
20339	" CACNA1H"	genetic	NULL	LPE535
20347	" CACNA1F"	genetic	NULL	LPE543
20348	" EYA4"	genetic	NULL	LPE439
20349	" NF1"	genetic	NULL	LPE453
20351	" USB1"	genetic	NULL	LPE454
20352	" SMARCA2"	genetic	NULL	LPE488
20354	" CSRP3"	genetic	NULL	LPE490
20357	" EYA4"	genetic	NULL	LPE518
20358	" KRT1"	genetic	NULL	LPE519
20363	" DDR2"	genetic	NULL	LPE524
20364	" ELN"	genetic	NULL	LPE525
20366	" EYA4"	genetic	NULL	LPE526
20367	" ATCAY"	genetic	NULL	LPE529
20368	" WNK1"	genetic	NULL	LPE528
20369	" IFIH1"	genetic	NULL	LPE530
20370	" FGF10"	genetic	NULL	LPE531
20371	" ARMS2"	genetic	NULL	LPE533
18921	" PEX7"	genetic	NULL	LPE529
18940	" MECOM"	genetic	NULL	LPE455
18955	" COL5A2"	genetic	NULL	LPE525
18971	" ATP6V0A2"	genetic	NULL	LPE541
18998	" LITAF"	genetic	NULL	LPE528
19013	" AHI1"	genetic	NULL	LPE543
19027	" COL7A1"	genetic	NULL	LPE519
19043	" ALG3"	genetic	NULL	LPE535
19057	" NBEAL2"	genetic	NULL	LPE455
19074	" LDB3"	genetic	NULL	LPE527
19092	" GLB1"	genetic	NULL	LPE548
19109	" ACTG1"	genetic	NULL	LPE523
19121	" ALG8"	genetic	NULL	LPE535
19141	" CFHR4"	genetic	NULL	LPE498
19155	" EXOSC3"	genetic	NULL	LPE530
19171	" HMOX1"	genetic	NULL	LPE452
19198	" F7"	genetic	NULL	LPE534
19215	" BTD"	genetic	NULL	LPE488
19227	" CASR"	genetic	NULL	LPE524
19247	" CACNA2D1"	genetic	NULL	LPE439
19257	" CFP"	genetic	NULL	LPE498
19278	" ACE"	genetic	NULL	LPE537
19292	" BRAF"	genetic	NULL	LPE490
19308	" GJC2"	genetic	NULL	LPE530
19320	" PANK2"	genetic	NULL	LPE548
19341	" CHRNG"	genetic	NULL	LPE526
19356	" CTSA"	genetic	NULL	LPE541
19373	" DTNBP1"	genetic	NULL	LPE519
19399	" FANCB"	genetic	NULL	LPE453
19416	" RYR1"	genetic	NULL	LPE527
19428	" CTSD"	genetic	NULL	LPE539
19449	" AGA"	genetic	NULL	LPE523
19457	" CEP41"	genetic	NULL	LPE531
19477	" CACNB2"	genetic	NULL	LPE490
19492	" AARS2"	genetic	NULL	LPE529
19508	" SLC2A1"	genetic	NULL	LPE452
19542	" ETHE1"	genetic	NULL	LPE542
19555	" COL3A1"	genetic	NULL	LPE518
19577	" UBQLN2"	genetic	NULL	LPE536
19598	" CEP290"	genetic	NULL	LPE524
19620	" BBS1"	genetic	NULL	LPE543
19631	" COL5A2"	genetic	NULL	LPE518
19649	" LYST"	genetic	NULL	LPE538
19659	" FANCL"	genetic	NULL	LPE453
19677	" ADSL"	genetic	NULL	LPE529
19690	" QDPR"	genetic	NULL	LPE548
19721	" A2M"	genetic	NULL	LPE536
19744	" COL9A3"	genetic	NULL	LPE522
19756	" GP9"	genetic	NULL	LPE534
19799	" GLA"	genetic	NULL	LPE541
19817	" CRTAP"	genetic	NULL	LPE522
19832	" ATP6AP2"	genetic	NULL	LPE535
19849	" MTHFR"	genetic	NULL	LPE498
19859	" CHKB"	genetic	NULL	LPE527
19875	" BBS9"	genetic	NULL	LPE543
19889	" GJB3"	genetic	NULL	LPE519
19907	" AFF2"	genetic	NULL	LPE537
19921	" CHD7"	genetic	NULL	LPE490
19945	" PINK1"	genetic	NULL	LPE538
19956	" OTOF"	genetic	NULL	LPE488
19984	" DNMT1"	genetic	NULL	LPE536
20002	" DOLK"	genetic	NULL	LPE518
20016	" AGK"	genetic	NULL	LPE537
20032	" COL1A2"	genetic	NULL	LPE490
20051	" EFNB1"	genetic	NULL	LPE531
20061	" DNM1L"	genetic	NULL	LPE439
20090	" GBA"	genetic	NULL	LPE536
20107	" EXT2"	genetic	NULL	LPE497
20124	" APOB"	genetic	NULL	LPE533
20145	" THBD"	genetic	NULL	LPE498
20155	" DSC2"	genetic	NULL	LPE526
20183	" VWF"	genetic	NULL	LPE498
20197	" EIF2B4"	genetic	NULL	LPE531
20213	" TAZ"	genetic	NULL	LPE454
20233	" EIF2B5"	genetic	NULL	LPE531
20252	" CPT2"	genetic	NULL	LPE490
20260	" CRTAP"	genetic	NULL	LPE524
20274	" SCP2"	genetic	NULL	LPE538
20290	" JUP"	genetic	NULL	LPE519
20306	" PINK1"	genetic	NULL	LPE536
20324	" KIT"	genetic	NULL	LPE519
20345	" ATP13A2"	genetic	NULL	LPE540
20372	" MPL"	genetic	NULL	LPE534
20377	" LZTFL1"	genetic	NULL	LPE539
20378	" ATP6V0A2"	genetic	NULL	LPE540
20382	" CACNA2D4"	genetic	NULL	LPE543
20383	" FAH"	genetic	NULL	LPE439
20385	" F8"	genetic	NULL	LPE455
20386	" FANCF"	genetic	NULL	LPE497
20388	" HARS2"	genetic	NULL	LPE488
20391	" FBN1"	genetic	NULL	LPE518
20393	" KRT10"	genetic	NULL	LPE519
20394	" ATP6AP2"	genetic	NULL	LPE521
20395	" ALX4"	genetic	NULL	LPE523
20399	" FHL1"	genetic	NULL	LPE526
20402	" MECP2"	genetic	NULL	LPE530
20404	" ARX"	genetic	NULL	LPE533
20410	" MAK"	genetic	NULL	LPE539
20411	" AUH"	genetic	NULL	LPE540
20412	" LAMP2"	genetic	NULL	LPE541
20413	" PRKRA"	genetic	NULL	LPE536
20414	" MCCC1"	genetic	NULL	LPE542
20415	" FHL1"	genetic	NULL	LPE439
20416	" NHP2"	genetic	NULL	LPE453
20419	" F9"	genetic	NULL	LPE455
20425	" KRT14"	genetic	NULL	LPE519
20428	" AMACR"	genetic	NULL	LPE523
20430	" ATP6V0A2"	genetic	NULL	LPE521
20431	" DHCR7"	genetic	NULL	LPE524
20432	" FIG4"	genetic	NULL	LPE526
20433	" STIM1"	genetic	NULL	LPE527
20436	" ATP7B"	genetic	NULL	LPE533
20437	" LTBP4"	genetic	NULL	LPE525
20439	" PLA2G6"	genetic	NULL	LPE530
20441	" SLC6A3"	genetic	NULL	LPE536
20443	" NBEA"	genetic	NULL	LPE534
20444	" B4GALT1"	genetic	NULL	LPE540
20446	" MCCC2"	genetic	NULL	LPE542
20448	" SNCB"	genetic	NULL	LPE538
20450	" FERMT3"	genetic	NULL	LPE455
20451	" FHL2"	genetic	NULL	LPE439
20458	" FANCI"	genetic	NULL	LPE497
20460	" KRT2"	genetic	NULL	LPE519
20463	" LEPRE1"	genetic	NULL	LPE525
20465	" DLL3"	genetic	NULL	LPE524
20468	" ARSA"	genetic	NULL	LPE528
20469	" ATP1A2"	genetic	NULL	LPE529
20470	" FKBP14"	genetic	NULL	LPE526
20471	" FGFR2"	genetic	NULL	LPE531
20473	" ATPAF2"	genetic	NULL	LPE533
20474	" CBL"	genetic	NULL	LPE535
20479	" BBS1"	genetic	NULL	LPE540
20480	" MCEE"	genetic	NULL	LPE542
20483	" CC2D2A"	genetic	NULL	LPE543
20487	" ABCB7"	genetic	NULL	LPE454
20485	" FKRP"	genetic	NULL	LPE439
20488	" CD81"	genetic	NULL	LPE489
20491	" FANCL"	genetic	NULL	LPE497
20490	" DMD"	genetic	NULL	LPE490
20494	" KRT5"	genetic	NULL	LPE519
20496	" FBLN1"	genetic	NULL	LPE522
20497	" ATPAF2"	genetic	NULL	LPE521
20502	" FKRP"	genetic	NULL	LPE526
20503	" CPT2"	genetic	NULL	LPE527
20505	" FGFR3"	genetic	NULL	LPE531
20504	" RNASEH2B"	genetic	NULL	LPE530
20507	" AURKC"	genetic	NULL	LPE533
20506	" ATP1A3"	genetic	NULL	LPE529
20511	" ALDH5A1"	genetic	NULL	LPE537
20513	" MFSD8"	genetic	NULL	LPE539
20516	" LMBRD1"	genetic	NULL	LPE541
20519	" PAX5"	genetic	NULL	LPE453
20521	" FGB"	genetic	NULL	LPE455
20522	" COL1A2"	genetic	NULL	LPE488
20525	" CD8A"	genetic	NULL	LPE489
20526	" FANCM"	genetic	NULL	LPE497
20527	" FKRP"	genetic	NULL	LPE518
20530	" ATXN10"	genetic	NULL	LPE521
20532	" ANK3"	genetic	NULL	LPE523
20534	" RIN2"	genetic	NULL	LPE525
20535	" FKTN"	genetic	NULL	LPE526
20536	" FKBP14"	genetic	NULL	LPE527
20537	" ATP7B"	genetic	NULL	LPE529
20539	" HK1"	genetic	NULL	LPE528
20545	" UCHL1"	genetic	NULL	LPE536
20547	" MKKS"	genetic	NULL	LPE539
20549	" LYST"	genetic	NULL	LPE541
20552	" PMS2"	genetic	NULL	LPE453
20553	" CDH3"	genetic	NULL	LPE543
20554	" ALAS2"	genetic	NULL	LPE454
20557	" GIPC3"	genetic	NULL	LPE488
20558	" LAMA3"	genetic	NULL	LPE519
20560	" CEBPE"	genetic	NULL	LPE489
20562	" FBXW4"	genetic	NULL	LPE522
20565	" AUH"	genetic	NULL	LPE521
20566	" FLNC"	genetic	NULL	LPE526
20567	" DYM"	genetic	NULL	LPE524
20568	" FKTN"	genetic	NULL	LPE518
20570	" ATP8A2"	genetic	NULL	LPE529
20571	" HSPB3"	genetic	NULL	LPE528
20573	" KCNJ2"	genetic	NULL	LPE527
20576	" CCL2"	genetic	NULL	LPE535
20578	" VPS35"	genetic	NULL	LPE536
20579	" MKS1"	genetic	NULL	LPE539
19084	" ACADM"	genetic	NULL	LPE537
19099	" BRCA2"	genetic	NULL	LPE489
19108	" WISP3"	genetic	NULL	LPE522
19132	" HK1"	genetic	NULL	LPE452
19143	" CACNA1C"	genetic	NULL	LPE518
19161	" PSENEN"	genetic	NULL	LPE536
19176	" LARS2"	genetic	NULL	LPE488
19190	" CANT1"	genetic	NULL	LPE524
19202	" FBXO7"	genetic	NULL	LPE538
19216	" C1QA"	genetic	NULL	LPE489
19230	" MTMR14"	genetic	NULL	LPE527
19256	" BMPR2"	genetic	NULL	LPE490
19267	" CHRND"	genetic	NULL	LPE526
19285	" CACNB2"	genetic	NULL	LPE439
19300	" CHST3"	genetic	NULL	LPE522
19310	" BNC2"	genetic	NULL	LPE531
