id	gene	type	rowno	test_code
51788	SATB2	genetic	NULL	LPE639
51795	SERPINF1	genetic	NULL	LPE639
51818	SLC17A5	genetic	NULL	LPE639
51820	SLC29A3	genetic	NULL	LPE639
51823	SLC2A10	genetic	NULL	LPE639
51830	SMAD2	genetic	NULL	LPE639
51834	SMAD3	genetic	NULL	LPE639
51851	SOS1	genetic	NULL	LPE639
51889	TAC3	genetic	NULL	LPE639
51893	TBC1D4	genetic	NULL	LPE639
51925	TMEM231	genetic	NULL	LPE639
51934	TNNT3	genetic	NULL	LPE639
51935	TP63	genetic	NULL	LPE639
51945	TRPS1	genetic	NULL	LPE639
51947	TSC2	genetic	NULL	LPE639
51977	WT1	genetic	NULL	LPE639
51987	ZFPM2	genetic	NULL	LPE639
51995	ZNF141	genetic	NULL	LPE639
52019	AGTR1	genetic	NULL	LPE517
52021	AGXT	genetic	NULL	LPE517
52028	ALG8	genetic	NULL	LPE517
52029	ALG9	genetic	NULL	LPE517
52035	ANLN	genetic	NULL	LPE517
52049	ARID1B	genetic	NULL	LPE517
52087	BNC2	genetic	NULL	LPE517
52093	BUB1B	genetic	NULL	LPE517
52124	CEL	genetic	NULL	LPE517
52132	CFHR1	genetic	NULL	LPE517
52133	CFHR4	genetic	NULL	LPE517
52142	CHST14	genetic	NULL	LPE517
52150	CLDN16	genetic	NULL	LPE517
52177	CTC1	genetic	NULL	LPE517
52185	CYP24A1	genetic	NULL	LPE517
52196	DICER1	genetic	NULL	LPE517
52215	EIF2AK3	genetic	NULL	LPE517
52222	EMX2	genetic	NULL	LPE517
52226	ERCC4	genetic	NULL	LPE517
52231	ERCC8	genetic	NULL	LPE517
52232	ETFB	genetic	NULL	LPE517
52246	FANCD2	genetic	NULL	LPE517
52288	FXYD2	genetic	NULL	LPE517
52293	GBA	genetic	NULL	LPE517
52322	HGD	genetic	NULL	LPE517
52331	HOXA4	genetic	NULL	LPE517
52333	HOXA11	genetic	NULL	LPE517
52340	HSD17B4	genetic	NULL	LPE517
52353	IGFBP7	genetic	NULL	LPE517
52377	KCNH1	genetic	NULL	LPE517
51245	SLC5A1	genetic	NULL	LPE638
51287	TERT	genetic	NULL	LPE638
51295	THBD	genetic	NULL	LPE638
51322	TTC37	genetic	NULL	LPE638
51335	VPS13B	genetic	NULL	LPE638
51342	XIAP	genetic	NULL	LPE638
51364	FBLN5	genetic	NULL	LPE639
51365	FBN2	genetic	NULL	LPE639
51378	FGFR1	genetic	NULL	LPE639
51380	FIG4	genetic	NULL	LPE639
51382	FIGLA	genetic	NULL	LPE639
51394	FOXE1	genetic	NULL	LPE639
51398	FSHR	genetic	NULL	LPE639
51417	GDF6	genetic	NULL	LPE639
51430	GNPTAB	genetic	NULL	LPE639
51442	GREM1	genetic	NULL	LPE639
51487	IFT43	genetic	NULL	LPE639
51494	IL17RD	genetic	NULL	LPE639
51523	KLHL10	genetic	NULL	LPE639
51535	LFNG	genetic	NULL	LPE639
51541	LMX1B	genetic	NULL	LPE639
51564	MAP3K8	genetic	NULL	LPE639
51566	MAP3K1	genetic	NULL	LPE639
51580	MEOX1	genetic	NULL	LPE639
51582	MESD	genetic	NULL	LPE639
51583	MGP	genetic	NULL	LPE639
51595	MSX1	genetic	NULL	LPE639
51596	MN1	genetic	NULL	LPE639
51616	NEU1	genetic	NULL	LPE639
51627	NOBOX	genetic	NULL	LPE639
51639	NR3C1	genetic	NULL	LPE639
51688	PHEX	genetic	NULL	LPE639
51695	PIGA	genetic	NULL	LPE639
51722	PORCN	genetic	NULL	LPE639
51734	PROP1	genetic	NULL	LPE639
51742	PTPN11	genetic	NULL	LPE639
51765	RERE	genetic	NULL	LPE639
51766	RFX6	genetic	NULL	LPE639
51780	RSPH4A	genetic	NULL	LPE639
51782	RSPO1	genetic	NULL	LPE639
51783	RTTN	genetic	NULL	LPE639
51793	SDCCAG8	genetic	NULL	LPE639
51800	SEMA3E	genetic	NULL	LPE639
